date,precipitation,spi3,spi6,precip_anomaly,precipitation_7day,precipitation_30day,disease_cases,pop_count_total,pop_density_mean,avg_rad_mean,tmin,tmax,tave,pr,temp_range,tave_7day,tave_30day
2011-07-07,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,337.6522981481482,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.009833333333336,29.217277777777777,27.11383333333333,603.27,4.207444444444441,27.071007936507936,27.789203703703706
2011-07-08,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,340.80795185185184,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.20683333333333,30.01083333333333,27.107777777777777,363.24,5.803999999999999,27.056436507936507,27.80387222222222
2011-07-09,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,343.9636055555556,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,26.408944444444444,30.994,28.70283333333333,513.04,4.585055555555556,27.113222222222223,27.85554814814815
2011-07-10,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,347.1192592592593,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.63688888888889,29.77244444444445,27.20394444444445,277.85,5.135555555555555,27.11552380952381,27.821898148148147
2011-07-11,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,350.27491296296296,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.728444444444445,30.426,28.076888888888888,468.04,4.697555555555557,27.22317460317461,27.807314814814813
2011-07-12,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,353.4305666666667,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.226222222222223,32.51577777777778,28.3705,0.0,8.289555555555555,27.549468253968254,27.77408888888889
2011-07-13,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,356.5862203703704,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,23.768722222222223,32.207,27.987333333333336,0.0,8.438277777777778,27.79473015873016,27.778464814814814
2011-07-14,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,359.7418740740741,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,23.695055555555555,32.14888888888889,27.92255555555556,0.0,8.453833333333336,27.910261904761903,27.75588148148148
2011-07-15,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,362.8975277777778,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,23.939222222222224,33.47255555555556,28.70555555555556,0.0,9.533333333333337,28.138515873015876,27.788848148148148
2011-07-16,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,366.0531814814815,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.31838888888889,33.62416666666667,28.970388888888888,0.0,9.305777777777775,28.176738095238097,27.822350000000004
2011-07-17,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,369.2088351851852,26.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.8085,33.35033333333334,29.07894444444445,0.0,8.54183333333334,28.44459523809524,27.88596851851852
2011-07-18,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,372.36448888888896,34.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.288833333333333,32.32038888888889,28.805833333333336,4.6000000000000005,7.03155555555556,28.54873015873016,27.97290555555556
2011-07-19,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,375.5201425925926,34.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.79211111111111,32.162388888888884,28.97722222222222,134.57999999999998,6.370277777777773,28.635404761904763,28.04917962962963
2011-07-20,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,378.6757962962963,34.0,2234.1904023488364,6782.15498360974,9.003149135397468,26.40222222222222,31.537944444444445,28.96961111111111,468.71,5.135722222222224,28.77573015873016,28.076574074074077
2011-07-21,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,381.83145,34.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.710944444444447,29.729055555555554,27.21988888888889,1316.26,5.018111111111107,28.675349206349207,28.02151851851852
2011-07-22,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,384.9871037037037,34.0,2234.1904023488364,6782.15498360974,9.003149135397468,23.857555555555557,27.11277777777778,25.48511111111111,22460.62,3.2552222222222262,28.21528571428572,27.9536
2011-07-23,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,388.1427574074074,34.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.426277777777777,29.7475,27.087111111111117,5212.85,5.321222222222225,27.946246031746032,27.96135740740741
2011-07-24,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,391.2984111111111,34.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.305333333333333,28.28105555555556,26.291500000000003,2304.23,3.975722222222224,27.548039682539684,27.922392592592598
2011-07-25,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,394.4540648148148,17.0,2234.1904023488364,6782.15498360974,9.003149135397468,23.95938888888889,30.14427777777778,27.052111111111117,499.03,6.184888888888892,27.29750793650794,27.81417777777778
2011-07-26,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,397.6097185185184,17.0,2234.1904023488364,6782.15498360974,9.003149135397468,23.623444444444445,27.46255555555556,25.543666666666663,8900.8,3.839111111111112,26.807,27.692090740740746
2011-07-27,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,400.7653722222222,17.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.26888888888889,27.970055555555557,26.11955555555556,8102.72,3.7011666666666656,26.39984920634921,27.58804814814815
2011-07-28,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,403.9210259259259,17.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.820277777777772,27.954166666666666,26.387888888888888,10826.9,3.1338888888888903,26.28099206349206,27.52131481481481
2011-07-29,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,407.0766796296296,17.0,2234.1904023488364,6782.15498360974,9.003149135397468,24.80588888888889,30.990277777777777,27.897722222222225,2132.78,6.184388888888886,26.625650793650795,27.49865185185185
2011-07-30,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,410.2323333333333,17.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.34283333333333,30.971055555555555,28.15705555555555,363.06,5.62822222222222,26.7785,27.52060185185185
2011-07-31,410.2323333333333,1.1735555555555557,1.1481666666666668,94.82661111111112,410.2323333333333,410.2323333333333,17.0,2234.1904023488364,6782.15498360974,9.003149135397468,25.70855555555556,28.559722222222224,27.134722222222223,2406.3,2.851166666666668,26.898960317460315,27.5181
