date,precipitation,spi3,spi6,precip_anomaly,precipitation_7day,precipitation_30day,disease_cases,pop_count_total,pop_density_mean,avg_rad_mean,tmin,tmax,tave,pr,temp_range,tave_7day,tave_30day,no2,co,so2,o3,pm10,pm25,ndvi
2010-05-19,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,112.0283777777778,0.0,2234.82813551161,6752.830040290342,9.003149135397468,31.54655555555556,37.69072222222222,34.61877777777778,0.0,6.144166666666664,33.63507936507936,32.60386481481481,0.95,0.0656922222222222,0.7001111111111111,33.9,12.16,8.34,0.3356111111111111
2010-05-20,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,115.28805555555556,0.0,2234.82813551161,6752.830040290342,9.003149135397468,30.02422222222222,36.81411111111111,33.41977777777778,0.0,6.789888888888889,33.70781746031746,32.70329444444444,1.07,0.0677988888888889,0.8478888888888889,32.02,9.94,6.890000000000001,0.2926666666666667
2010-05-21,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,118.54773333333334,0.0,2234.82813551161,6752.830040290342,9.003149135397468,30.28855555555556,35.898,33.092666666666666,0.0,5.609444444444442,33.643523809523806,32.78591296296296,1.42,0.0702588888888888,1.223,32.3,18.81,13.18,0.3267222222222222
2010-05-22,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,121.80741111111112,0.0,2234.82813551161,6752.830040290342,9.003149135397468,28.401333333333334,36.62922222222223,32.51572222222222,0.0,8.227888888888891,33.63938888888889,32.7858,1.31,0.0695222222222222,0.6957777777777778,33.99,18.68,13.140000000000002,0.3353888888888888
2010-05-23,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,125.0670888888889,0.0,2234.82813551161,6752.830040290342,9.003149135397468,29.86244444444444,35.91133333333333,32.885666666666665,0.0,6.048888888888889,33.483380952380955,32.81961481481481,1.2,0.0636344444444444,0.3462222222222222,31.7,29.55,20.74,0.2988888888888888
2010-05-24,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,128.32676666666669,0.0,2234.82813551161,6752.830040290342,9.003149135397468,28.4285,36.20544444444444,32.31655555555556,0.0,7.776944444444439,33.24746031746032,32.816237037037034,0.8600000000000001,0.0632344444444444,0.3569999999999999,30.14,20.04,14.09,0.3336666666666666
2010-05-25,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,131.58644444444445,0.0,2234.82813551161,6752.830040290342,9.003149135397468,29.48583333333333,36.62205555555556,33.05405555555556,0.0,7.136222222222223,33.12903174603174,32.8806537037037,0.87,0.0614922222222222,0.3818888888888888,29.76,25.87,18.15,0.2982777777777777
2010-05-26,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,134.84612222222225,0.0,2234.82813551161,6752.830040290342,9.003149135397468,29.060666666666663,33.93844444444444,31.49922222222222,980.76,4.877777777777776,32.68338095238095,32.89710185185185,1.14,0.0624477777777777,0.4163333333333333,29.69,21.91,15.21,0.3333333333333333
2010-05-27,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,138.1058,0.0,2234.82813551161,6752.830040290342,9.003149135397468,28.462611111111112,33.83311111111111,31.146555555555555,350.82,5.370499999999996,32.35863492063492,32.9033,1.12,0.0641077777777777,0.9703333333333332,29.79,16.68,11.55,0.2982777777777777
2010-05-28,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,141.3654777777778,0.0,2234.82813551161,6752.830040290342,9.003149135397468,27.98855555555556,35.63261111111111,31.811333333333334,52.66,7.644055555555557,32.1755873015873,32.90982407407407,1.25,0.0599422222222222,0.5211111111111111,29.7,11.390000000000002,7.929999999999999,0.3395555555555555
2010-05-29,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,144.62515555555555,0.0,2234.82813551161,6752.830040290342,9.003149135397468,27.163222222222224,33.79322222222222,30.47877777777778,27.59,6.629999999999996,31.88459523809524,32.90504074074074,1.45,0.0616455555555555,0.4077777777777778,28.91,10.89,7.609999999999999,0.3396111111111111
2010-05-30,147.88483333333335,-1.3362777777777777,-1.6767222222222222,51.34561111111112,147.88483333333335,147.88483333333335,0.0,2234.82813551161,6752.830040290342,9.003149135397468,28.369166666666665,34.69766666666666,31.532444444444444,0.0,6.328499999999998,31.691277777777778,32.88728703703704,1.41,0.0607777777777777,0.3513333333333333,28.46,16.72,11.43,0.3023333333333333
