date,no2,co,so2,o3,pm10,pm25,ndvi
2003-01-01,0.72,0.08454444444444445,0.40844444444444444,33.08,24.16,14.37,0.4820555555555555
2003-01-02,0.72,0.09410111111111111,0.28788888888888886,37.59,24.16,14.37,0.4827777777777778
2003-01-03,0.8899999999999999,0.09133777777777777,0.329,37.41,19.79,12.34,0.4572222222222222
2003-01-04,0.71,0.08596666666666666,0.3102222222222222,37.28,20.64,12.88,0.4827777777777778
2003-01-05,0.66,0.0862288888888889,0.33711111111111114,35.99,17.62,10.76,0.4572222222222222
2003-01-06,0.76,0.09177666666666667,0.3161111111111111,37.39,17.32,10.4,0.4827777777777778
2003-01-07,1.18,0.08927333333333333,0.5043333333333333,38.18,18.75,11.85,0.4572222222222222
2003-01-08,1.51,0.08768333333333334,0.6132222222222222,36.58,16.0,10.65,0.5077222222222222
2003-01-09,1.17,0.08359888888888888,0.3268888888888889,36.3,10.74,7.33,0.47933333333333333
2003-01-10,1.43,0.08191666666666667,0.4278888888888889,35.95,11.859999999999998,8.2,0.5164444444444444
2003-01-11,1.5899999999999999,0.07861666666666668,0.5147777777777778,35.33,13.05,9.06,0.5167777777777778
2003-01-12,1.7200000000000002,0.07285888888888889,0.633,35.32,11.609999999999998,8.16,0.47983333333333333
2003-01-13,1.65,0.07323222222222223,0.6745555555555556,36.36,11.38,8.01,0.49983333333333335
2003-01-14,1.37,0.07586777777777778,0.47588888888888886,37.33,15.32,10.52,0.46399999999999997
2003-01-15,0.8899999999999999,0.08387888888888889,0.3776666666666667,36.2,18.04,11.58,0.4961111111111111
2003-01-16,0.52,0.08295555555555556,0.2997777777777778,31.34,24.65,15.34,0.45594444444444443
2003-01-17,0.51,0.08431555555555556,0.33944444444444444,35.39,18.74,11.989999999999998,0.4940555555555556
2003-01-18,0.49,0.09010555555555556,0.34055555555555556,37.12,19.21,12.23,0.4940555555555556
2003-01-19,0.6,0.08795333333333333,0.4421111111111111,37.68,14.58,9.29,0.45616666666666666
2003-01-20,0.55,0.08595555555555555,0.3592222222222222,36.94,16.83,10.99,0.46477777777777773
2003-01-21,0.81,0.08236666666666667,0.31922222222222224,34.16,16.92,11.07,0.44161111111111107
2003-01-22,1.42,0.08111444444444443,0.36822222222222223,35.12,14.43,9.81,0.46755555555555556
2003-01-23,1.49,0.0915111111111111,0.6785555555555556,36.92,21.78,15.04,0.4414444444444445
2003-01-24,1.06,0.09314333333333334,0.7900000000000001,35.38,24.83,16.77,0.46088888888888896
2003-01-25,0.81,0.11047666666666667,0.3897777777777778,38.32,35.33,22.7,0.4355555555555556
2003-01-26,0.78,0.09583222222222222,0.34944444444444445,40.26,21.13,13.719999999999999,0.46266666666666667
2003-01-27,1.39,0.08708444444444445,0.39866666666666667,38.7,15.3,10.53,0.45488888888888884
2003-01-28,1.02,0.08199444444444445,0.3184444444444444,37.58,18.97,12.66,0.4285
2003-01-29,0.49,0.10183888888888888,0.22977777777777778,39.63,26.04,15.6,0.45488888888888884
2003-01-30,0.47,0.09249666666666667,0.22922222222222224,39.5,22.01,13.04,0.4285
2003-01-31,0.47,0.08836666666666668,0.249,37.89,22.82,13.66,0.45488888888888884
2003-02-01,0.69,0.08802222222222222,0.28977777777777775,36.76,17.84,11.3,0.4285
2003-02-02,0.59,0.08322777777777778,0.32,35.95,16.27,10.69,0.4492777777777778
2003-02-03,0.53,0.07987444444444444,0.26077777777777783,35.34,17.07,10.78,0.4492777777777778
2003-02-04,0.65,0.09015444444444444,0.3505555555555555,36.56,17.98,11.29,0.4285
2003-02-05,0.49,0.09165555555555556,0.3228888888888889,38.31,17.17,10.53,0.45488888888888884
2003-02-06,0.4799999999999999,0.08777444444444445,0.3015555555555556,37.27,15.5,9.55,0.4285
2003-02-07,0.84,0.09980555555555555,0.2776666666666667,37.68,22.35,13.71,0.45799999999999996
2003-02-08,1.05,0.0932222222222222,0.36611111111111116,37.65,14.95,9.57,0.4285
2003-02-09,1.07,0.08980666666666666,0.36611111111111116,37.61,13.45,8.87,0.45799999999999996
2003-02-10,1.64,0.07775888888888888,0.4151111111111111,36.14,13.71,9.44,0.4287222222222222
2003-02-11,1.9,0.08040222222222222,0.5235555555555556,34.38,18.68,12.859999999999998,0.45894444444444443
2003-02-12,1.54,0.08437555555555556,0.6706666666666667,34.79,14.57,9.77,0.4343888888888889
