date,precipitation,spi3,spi6,precip_anomaly,precipitation_7day,precipitation_30day,disease_cases
2016-06-22,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,270.84861851851855,18.0
2016-06-23,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,276.43788148148155,18.0
2016-06-24,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,282.02714444444445,18.0
2016-06-25,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,287.61640740740745,18.0
2016-06-26,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,293.2056703703704,18.0
2016-06-27,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,298.79493333333335,22.0
2016-06-28,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,304.3841962962963,22.0
2016-06-29,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,309.9734592592593,22.0
2016-06-30,315.56272222222225,-0.027333333333333334,-0.39238888888888884,100.98633333333333,315.56272222222225,315.56272222222225,22.0
2016-07-01,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,329.0869523809524,318.71837592592595,22.0
2016-07-02,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,342.61118253968255,321.87402962962966,22.0
2016-07-03,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,356.1354126984127,325.02968333333337,22.0
2016-07-04,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,369.6596428571429,328.1853370370371,13.0
2016-07-05,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,383.18387301587296,331.3409907407407,13.0
2016-07-06,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,396.7081031746032,334.4966444444445,13.0
2016-07-07,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,337.6522981481482,13.0
2016-07-08,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,340.80795185185184,13.0
2016-07-09,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,343.9636055555556,13.0
2016-07-10,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,347.1192592592593,13.0
2016-07-11,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,350.27491296296296,25.0
2016-07-12,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,353.4305666666667,25.0
2016-07-13,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,356.58622037037037,25.0
2016-07-14,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,359.7418740740741,25.0
2016-07-15,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,362.89752777777784,25.0
2016-07-16,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,366.0531814814815,25.0
2016-07-17,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,369.2088351851852,25.0
2016-07-18,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,372.36448888888896,38.0
2016-07-19,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,375.5201425925926,38.0
2016-07-20,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,378.6757962962963,38.0
2016-07-21,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,381.83145,38.0
2016-07-22,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,384.9871037037037,38.0
2016-07-23,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,388.14275740740743,38.0
2016-07-24,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,391.2984111111111,38.0
2016-07-25,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,394.4540648148148,34.0
2016-07-26,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,397.60971851851843,34.0
2016-07-27,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,400.7653722222222,34.0
2016-07-28,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,403.9210259259259,34.0
2016-07-29,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,407.07667962962955,34.0
2016-07-30,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,410.2323333333333,34.0
2016-07-31,410.2323333333333,-0.2647222222222222,-0.6310555555555555,80.70594444444444,410.2323333333333,410.2323333333333,34.0
2016-08-01,394.19544444444443,-1.2932222222222223,-1.201611111111111,67.42644444444444,407.9413492063492,409.6977703703704,54.0
2016-08-02,394.19544444444443,-1.2932222222222223,-1.201611111111111,67.42644444444444,405.6503650793651,409.1632074074074,54.0
